IDENTIFICATION;TEAM;LOCATION
0;FLAMENGO;RIO DE JANEIRO
1;BOTAFOGO;RIO DE JANEIRO
2;PALMEIRAS;SAO PAULO
3;CORINTHIANS;SAO PAULO
4;BRAGANTINO;SAO PAULO
5;ATLETICO-MG;BELO HORIZONTE
6;GREMIO;PORTO ALEGRE
7;ATHLETICO-PR;CURITIBA
8;FORTALEZA;FORTALEZA
9;AMERICA-MG;BELO HORIZONTE
10;CORITIBA;CURITIBA
11;SAO PAULO;SAO PAULO
12;CUIABA;CUIABA
13;CRUZEIRO;BELO HORIZONTE
14;BAHIA;SALVADOR
15;VASCO;RIO DE JANEIRO
16;SANTOS;SAO PAULO
17;GOIAS;GOIANIA
18;INTERNACIONAL;PORTO ALEGRE
19;FLUMINENSE;RIO DE JANEIRO
