;RIO DE JANEIRO;SAO PAULO;BELO HORIZONTE;PORTO ALEGRE;CURITIBA;FORTALEZA;CUIABA;SALVADOR;GOIANIA
RIO DE JANEIRO;0;432;441;1581;853;2581;1925;1632;1448
SAO PAULO;432;0;585;1132;403;3088;1525;1992;1046
BELO HORIZONTE;441;585;0;1707;979;2315;1570;1351;1002
PORTO ALEGRE;1581;1132;1707;0;741;4017;2126;3114;2155
CURITIBA;853;403;979;741;0;3304;1670;2401;1442
FORTALEZA;2581;3088;2315;4017;3304;0;3135;1183;2425
CUIABA;1925;1525;1570;2126;1670;3135;0;2494;765
SALVADOR;1632;1992;1351;3114;2401;1183;2494;0;1752
GOIANIA;1448;1046;1002;2155;1442;2425;765;1752;0
